Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Afganistán,AFG,25.0
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Albania,ALB,58.4
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Alemania,DEU,77.2
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Andorra,AND,88.2
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Angola,AGO,64.1
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Antigua y Barbuda,ATG,24.8
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Arabia Saudita,SAU,83.4
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Argelia,DZA,71.5
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Argentina,ARG,91.6
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Armenia,ARM,63.1
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Aruba,ABW,43.2
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Australia,AUS,85.8
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Austria,AUT,57.9
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Azerbaiyán,AZE,55.0
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Bahamas,BHS,82.8
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Bahrein,BHR,89.1
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Bangladesh,BGD,35.1
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Barbados,BRB,31.2
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Belarús,BLR,77.7
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Bélgica,BEL,97.9
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Belice,BLZ,45.5
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Benin,BEN,46.2
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Bermudas,BMU,100.0
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Bhután,BTN,39.4
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Bolivia,BOL,68.7
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Bosnia y Herzegovina,BIH,47.5
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Botswana,BWA,67.9
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Brasil,BRA,86.0
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Brunei Darussalam,BRN,77.0
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Bulgaria,BGR,74.3
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Burkina Faso,BFA,28.1
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Burundi,BDI,12.4
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Cabo Verde,CPV,64.8
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Camboya,KHM,22.6
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Camerún,CMR,55.2
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Canadá,CAN,81.3
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Chad,TCD,22.7
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Chile,CHL,87.4
Población urbana (% del total),SP.URB.TOTL.IN.ZS,China,CHN,56.7
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Chipre,CYP,66.9
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Colombia,COL,80.1
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Comoras,COM,28.6
Población urbana (% del total),SP.URB.TOTL.IN.ZS,"Congo, República del",COG,66.0
Población urbana (% del total),SP.URB.TOTL.IN.ZS,"Congo, República Democrática del",COD,43.3
Población urbana (% del total),SP.URB.TOTL.IN.ZS,"Corea, República de",KOR,81.6
Población urbana (% del total),SP.URB.TOTL.IN.ZS,"Corea, República Popular Democrática de",PRK,61.5
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Costa Rica,CRI,77.7
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Côte d'Ivoire,CIV,49.9
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Croacia,HRV,56.4
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Cuba,CUB,76.9
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Curacao,CUW,89.3
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Dinamarca,DNK,87.6
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Djibouti,DJI,77.5
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Dominica,DMA,69.9
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Ecuador,ECU,63.5
Población urbana (% del total),SP.URB.TOTL.IN.ZS,"Egipto, República Árabe de",EGY,42.7
Población urbana (% del total),SP.URB.TOTL.IN.ZS,El Salvador,SLV,70.5
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Emiratos Árabes Unidos,ARE,86.0
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Eritrea,ERI,NA
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Eslovenia,SVN,54.0
Población urbana (% del total),SP.URB.TOTL.IN.ZS,España,ESP,79.8
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Estados Unidos,USA,81.9
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Estonia,EST,68.6
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Eswatini,SWZ,23.5
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Etiopía,ETH,19.9
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Federación de Rusia,RUS,74.2
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Fiji,FJI,55.2
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Filipinas,PHL,46.5
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Finlandia,FIN,85.3
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Francia,FRA,79.9
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Gabón,GAB,88.6
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Gambia,GMB,59.9
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Georgia,GEO,57.8
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Ghana,GHA,54.7
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Gibraltar,GIB,100.0
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Granada,GRD,36.1
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Grecia,GRC,78.4
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Groenlandia,GRL,86.3
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Guam,GUM,94.6
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Guatemala,GTM,50.3
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Guinea,GIN,35.5
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Guinea Ecuatorial,GNQ,71.1
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Guinea-Bissau,GNB,42.5
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Guyana,GUY,26.5
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Haití,HTI,53.4
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Honduras,HND,55.8
Población urbana (% del total),SP.URB.TOTL.IN.ZS,"Hong Kong, Región Administrativa Especial",HKG,100.0
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Hungría,HUN,70.8
Población urbana (% del total),SP.URB.TOTL.IN.ZS,India,IND,33.2
Población urbana (% del total),SP.URB.TOTL.IN.ZS,Indonesia,IDN,54.0
Población urbana (% del total),SP.URB.TOTL.IN.ZS,"Irán, República Islámica del",IRN,73.9
