Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
UHC service coverage index,SH.UHC.SRVS.CV.XD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,34
UHC service coverage index,SH.UHC.SRVS.CV.XD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,62
UHC service coverage index,SH.UHC.SRVS.CV.XD,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,36
UHC service coverage index,SH.UHC.SRVS.CV.XD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,76
UHC service coverage index,SH.UHC.SRVS.CV.XD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,67
UHC service coverage index,SH.UHC.SRVS.CV.XD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,80
UHC service coverage index,SH.UHC.SRVS.CV.XD,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,80
UHC service coverage index,SH.UHC.SRVS.CV.XD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,64
UHC service coverage index,SH.UHC.SRVS.CV.XD,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,46
UHC service coverage index,SH.UHC.SRVS.CV.XD,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,74
UHC service coverage index,SH.UHC.SRVS.CV.XD,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,80
UHC service coverage index,SH.UHC.SRVS.CV.XD,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,41
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,60
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,57
UHC service coverage index,SH.UHC.SRVS.CV.XD,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,60
UHC service coverage index,SH.UHC.SRVS.CV.XD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,77
UHC service coverage index,SH.UHC.SRVS.CV.XD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,64
UHC service coverage index,SH.UHC.SRVS.CV.XD,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,39
UHC service coverage index,SH.UHC.SRVS.CV.XD,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,43
UHC service coverage index,SH.UHC.SRVS.CV.XD,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,62
UHC service coverage index,SH.UHC.SRVS.CV.XD,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,55
UHC service coverage index,SH.UHC.SRVS.CV.XD,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,44
UHC service coverage index,SH.UHC.SRVS.CV.XD,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,80
UHC service coverage index,SH.UHC.SRVS.CV.XD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,29
UHC service coverage index,SH.UHC.SRVS.CV.XD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
